domain,hash
test.,129683735
b.e.f.ip6.arpa.,194875308
16.172.in-addr.arpa.,358631195
example.org.,404255797
25.172.in-addr.arpa.,429886584
a.e.f.ip6.arpa.,450946517
20.172.in-addr.arpa.,655688130
171.0.0.192.in-addr.arpa.,680460894
254.169.in-addr.arpa.,698152339
28.172.in-addr.arpa.,783555655
service.arpa.,1049349389
30.172.in-addr.arpa.,1114782340
onion.,1282386546
168.192.in-addr.arpa.,1308420889
22.172.in-addr.arpa.,1403062067
19.172.in-addr.arpa.,1459605973
9.e.f.ip6.arpa.,1542507872
resolver.arpa.,1577257521
6tisch.arpa.,1624796255
27.172.in-addr.arpa.,1831570057
example.,1846181900
alt.,1956039683
18.172.in-addr.arpa.,2166182285
23.172.in-addr.arpa.,2219018091
31.172.in-addr.arpa.,2509290204
eap-noob.arpa.,2532778180
home.arpa.,2617497978
local.,2693684864
localhost.,2888651064
170.0.0.192.in-addr.arpa.,3019696266
26.172.in-addr.arpa.,3133737681
example.com.,3168736036
10.in-addr.arpa.,3227583406
17.172.in-addr.arpa.,3263350595
24.172.in-addr.arpa.,3464301600
example.net.,3626166071
8.e.f.ip6.arpa.,3792377480
invalid.,3818387480
21.172.in-addr.arpa.,4042752410
29.172.in-addr.arpa.,4183202847
ipv4only.arpa.,4244251058
