domain,hash
ccj.im,4481100
href.in,10933903
post.ly,13343191
buff.ly,14135851
emojilink.me,15844325
2tu.us,22337403
niny.io,46815139
a.co,63987773
linkbun.ch,81586907
ptab.it,89010134
jieb.be,91005674
xaddr.com,94864554
x2c.eumx,95767752
cut.sk,107773228
alil.in,112197074
wb1.eu,112613000
nsfw.in,120551994
mic.fr,124143405
lick.my,124611962
kuc.cz,126067396
goo.lu,132141946
droid.ws,135388304
shoturl.us,137990855
zeek.ir,140504537
zkrat.me,146695173
zipmyurl.com,153706596
shrinkurl.in,156351207
ysear.ch,160075139
mut.lu,187903905
rt.tc,207000707
ex9.co,208931880
126.am,225646041
xrl.us,231084996
dwarfurl.com,235861434
net46.net,239601666
xr.com,247159385
ppt.cc,265754634
ix.sk,271225693
krat.si,278371006
yau.sh,284449612
eepurl.com,293797066
dai.ly,312052802
t.cn,319878918
dopice.sk,320146187
ph.ly,320884455
zi.pe,324677681
bitly.com,334592066
xav.cc,336456926
shrunkin.com,346934264
au.ms,354265032
db.tt,358054693
xurl.jp,371376047
sn.im,373705683
soo.gd,384035534
short.nr,384782240
burnurl.com,386500576
t.ly,391867918
jp22.net,393538193
nig.gr,395023253
hurl.ws,395910855
yogh.me,400975983
tllg.net,407639566
redirx.com,421502578
b00.fr,445380622
urlin.it,453825939
ta.gd,458887871
catchylink.com,474282011
bim.im,478122993
zkrt.cz,484171850
net.ms,490692345
bkite.com,491288644
sicax.net,496067911
wu.cz,501371072
wa.link,504511148
kissa.be,504621244
rb6.me,516056558
lnp.sn,520227506
ucam.me,521848818
couic.fr,530129477
qxp.cz,536002553
cjb.net,552179191
url5.org,556516055
njx.me,560841665
sq6.ru,573785571
ssl.gs,580237924
zz.gd,594705472
q.gs,597995241
kl.am,604427539
br4.in,608380144
hellotxt.com,609302744
jqw.de,611159131
wwy.me,628663492
v5.gd,636868906
kfd.pl,674202604
lnk.in,674701559
ri.ms,680698557
xub.me,704026095
g00.me,711013809
doiop.com,722068894
1un.fr,726674943
redir.fr,735554938
urlx.ie,749449428
kask.us,750204764
ph.dog,757246092
a0.fr,757393050
lien.pl,759357471
bee4.biz,766186701
adfly.fr,767375740
trck.me,776737220
x.co,784431144
idek.net,786612314
alturl.com,813753361
ity.im,833876169
krod.cz,834805967
poprl.com,842744888
tiny.cc,842870914
moourl.com,853546279
2.gp,856426624
togoto.us,868129793
cuturl.com,873906182
just.as,877915385
prejit.cz,882042803
riz.gd,892889958
xl8.eu,903353782
tiny.lt,913746314
surl.me,918133113
1tk.us,923174265
go.9nl.com,927636080
bougn.at,944469909
shortlinks.co.uk,957962862
thesa.us,958861518
wp.me,968327305
2u.xf.cz,973134046
go2.me,975938848
simurl.com,985193099
xua.me,994261505
hec.su,998918184
curl.im,1003505793
abbr.sk,1005880139
sn.vc,1017407562
adb.ug,1018855931
tixsu.com,1023112322
abbrr.com,1024762847
po.st,1025246333
cutt.us,1027973743
qqc.co,1033093394
v.gd,1033900951
sagyap.tk,1037562960
iterasi.net,1043224407
freze.it,1047976128
ww7.fr,1049941958
vaza.me,1054631247
cort.as,1055301991
brk.to,1061578638
fly2.ws,1065189193
qxp.sk,1065389402
ad7.biz,1066942074
captur.in,1067411173
zpag.es,1067456531
tinyarro.ws,1072526486
rdz.me,1077966795
twurl.nl,1079232880
5url.net,1093754778
ouo.io,1106662155
y2u.be,1110422010
vgn.me,1124765637
wtc.la,1124768951
lin.cr,1126676496
lt.tl,1127850225
l-k.be,1128399405
adfoc.us,1129416019
vur.me,1139122944
roflc.at,1141432135
qbn.ru,1174548215
shar.as,1175895967
fnk.es,1176444996
traceurl.com,1182131669
tinyurl.hu,1189885322
z9.fr,1193021315
urlzen.com,1203922772
quip-art.com,1208878272
rsmonkey.com,1217813883
nicou.ch,1222906868
urlcover.com,1225080735
c-o.in,1229989868
tr5.in,1232118291
minurl.fr,1232744136
vaaa.fr,1238081488
htxt.it,1241317583
shrten.com,1245480888
gri.ms,1250151393
chilp.it,1251807440
guiama.is,1256524518
m3mi.com,1276451725
url4.eu,1282082873
kr3w.de,1287938374
decenturl.com,1290672624
foe.hn,1292397651
fur.ly,1294584981
tpmr.com,1295186170
thrdl.es,1302111219
m1p.fr,1302936406
cbs.so,1310116382
zip.net,1310456486
sy.pe,1314063839
hugeurl.com,1318831116
ewerl.com,1322572529
s.ee,1330622897
tinyurl.com,1347576153
erw.cz,1355997036
ub0.cc,1363968561
verd.in,1365082150
nq.st,1376390450
pich.in,1377400045
76.gd,1389561661
1url.com,1395098233
qrtag.fr,1396762158
hurl.me,1398821197
ref.so,1400594589
folu.me,1406351899
jmp2.net,1408089336
1-url.net,1410230866
kxb.me,1411653995
mcaf.ee,1425217618
tiny123.com,1426940485
pic.gd,1440862840
lnk.gd,1449256039
yect.com,1453050514
nn.nf,1453676463
bit.ly,1455664092
admy.link,1457883564
grem.io,1458049521
azali.fr,1463859656
good.ly,1471878795
tinytw.it,1484293725
ht.ly,1501526659
6url.com,1508019040
pw2.ro,1508355264
linkn.co,1520690346
brzu.net,1524034645
shrinkify.com,1540607579
i-2.co,1547963369
daa.pl,1552358683
cbug.cc,1568007230
cf6.co,1570690688
hurl.it,1572648123
shrinkee.com,1582009335
redu.it,1601507223
kratsi.cz,1605860486
sharein.com,1618473365
rb6.co,1620353406
o-x.fr,1623574577
tini.cc,1646552861
rubyurl.com,1665218920
tweetburner.com,1668083636
ick.li,1668879379
t.co,1679280016
dyo.gs,1682128648
atu.ca,1685023165
clck.ru,1694813845
twurl.cc,1698867884
yon.ir,1704146450
iiiii.in,1706650035
x.nu,1712193311
bzh.me,1716962215
xurls.co,1718336627
sina.lt,1719462004
vv.vg,1719950419
updating.me,1728249251
ur1.ca,1730024442
xt3.me,1730663576
liltext.com,1732319851
ppt.li,1754983899
