=== Model: RandomForest ===

--- Group 1 ---
1. is_https: 0.139097 ± 0.000683
2. cte_domain: 0.074204 ± 0.000234
3. subdomains: 0.052804 ± 0.000245
4. se_domain: 0.047002 ± 0.000503
5. dots: 0.044238 ± 0.000266
6. hyphens: 0.040441 ± 0.000302
7. domain_length: 0.034243 ± 0.000345
8. se_url: 0.021109 ± 0.000241
9. digits: 0.020723 ± 0.000144
10. uppercase: 0.017333 ± 0.000209
11. char_to_length_ratio: 0.016370 ± 0.000115
12. se_path: 0.015878 ± 0.000192
13. slashes: 0.014814 ± 0.000152
14. upper_to_lower_ratio: 0.013391 ± 0.000187
15. path_depth: 0.013131 ± 0.000096
16. path_length: 0.012747 ± 0.000159
17. digit_to_length_ratio: 0.012346 ± 0.000053
18. url_length: 0.010950 ± 0.000066
19. lowercase: 0.008674 ± 0.000035
20. underscore: 0.006124 ± 0.000070
21. is_mtld: 0.005414 ± 0.000109
22. equals: 0.001864 ± 0.000050
23. percent: 0.001829 ± 0.000050
24. tilde: 0.000958 ± 0.000021
25. query_length: 0.000671 ± 0.000032
26. se_query: 0.000557 ± 0.000042
27. at: 0.000548 ± 0.000025
28. is_tld_iana_reg: 0.000518 ± 0.000031
29. colons: 0.000374 ± 0.000004
30. question_marks: 0.000239 ± 0.000018
31. query_count: 0.000151 ± 0.000038
32. specialchar_to_length_ratio: 0.000141 ± 0.000004
33. special_chars: 0.000137 ± 0.000009
34. and: 0.000050 ± 0.000014
35. is_domain_ip: 0.000024 ± 0.000016
36. fragment_length: 0.000008 ± 0.000004
37. se_fragment: 0.000000 ± 0.000000

--- Group 2 ---
1. is_https: 0.136468 ± 0.000458
2. cte_domain: 0.068784 ± 0.000402
3. subdomains: 0.052816 ± 0.000292
4. se_domain: 0.046419 ± 0.000307
5. dots: 0.043971 ± 0.000228
6. hyphens: 0.039709 ± 0.000274
7. domain_length: 0.034282 ± 0.000323
8. uppercase: 0.029123 ± 0.000171
9. se_url: 0.020784 ± 0.000221
10. digits: 0.018739 ± 0.000172
11. char_to_length_ratio: 0.016542 ± 0.000208
12. se_path: 0.016374 ± 0.000212
13. slashes: 0.016308 ± 0.000300
14. digit_to_length_ratio: 0.013809 ± 0.000166
15. path_depth: 0.013424 ± 0.000124
16. path_length: 0.013122 ± 0.000179
17. url_length: 0.011293 ± 0.000134
18. lowercase: 0.008752 ± 0.000099
19. upper_to_lower_ratio: 0.006686 ± 0.000062
20. underscore: 0.005729 ± 0.000207
21. is_mtld: 0.005490 ± 0.000090
22. percent: 0.001699 ± 0.000032
23. equals: 0.001257 ± 0.000058
24. tilde: 0.001037 ± 0.000066
25. se_query: 0.000556 ± 0.000032
26. at: 0.000554 ± 0.000026
27. query_length: 0.000499 ± 0.000040
28. is_tld_iana_reg: 0.000461 ± 0.000020
29. colons: 0.000287 ± 0.000006
30. question_marks: 0.000204 ± 0.000015
31. specialchar_to_length_ratio: 0.000192 ± 0.000008
32. special_chars: 0.000186 ± 0.000006
33. query_count: 0.000138 ± 0.000023
34. and: 0.000082 ± 0.000004
35. is_domain_ip: 0.000042 ± 0.000025
36. fragment_length: 0.000009 ± 0.000004
37. se_fragment: 0.000001 ± 0.000002

--- Group 3 ---
1. is_https: 0.139032 ± 0.000693
2. cte_domain: 0.073621 ± 0.000386
3. subdomains: 0.049752 ± 0.000324
4. se_domain: 0.043750 ± 0.000219
5. dots: 0.043634 ± 0.000225
6. hyphens: 0.038808 ± 0.000285
7. domain_length: 0.032336 ± 0.000263
8. uppercase: 0.020460 ± 0.000269
9. se_url: 0.020340 ± 0.000104
10. digits: 0.019650 ± 0.000214
11. char_to_length_ratio: 0.016863 ± 0.000100
12. se_path: 0.015782 ± 0.000104
13. slashes: 0.014831 ± 0.000178
14. path_depth: 0.013629 ± 0.000164
15. path_length: 0.013363 ± 0.000178
16. upper_to_lower_ratio: 0.012622 ± 0.000178
17. digit_to_length_ratio: 0.012484 ± 0.000073
18. url_length: 0.011457 ± 0.000108
19. lowercase: 0.008843 ± 0.000170
20. underscore: 0.005847 ± 0.000148
21. is_mtld: 0.005626 ± 0.000075
22. percent: 0.001882 ± 0.000033
23. equals: 0.001680 ± 0.000032
24. tilde: 0.001143 ± 0.000036
25. at: 0.000632 ± 0.000021
26. se_query: 0.000484 ± 0.000053
27. query_length: 0.000484 ± 0.000045
28. is_tld_iana_reg: 0.000398 ± 0.000043
29. special_chars: 0.000367 ± 0.000004
30. colons: 0.000346 ± 0.000013
31. question_marks: 0.000259 ± 0.000009
32. specialchar_to_length_ratio: 0.000112 ± 0.000006
33. query_count: 0.000110 ± 0.000031
34. and: 0.000053 ± 0.000006
35. is_domain_ip: 0.000027 ± 0.000013
36. fragment_length: 0.000018 ± 0.000011
37. se_fragment: 0.000001 ± 0.000002


=== Model: XGBoost ===

--- Group 1 ---
1. is_https: 0.102951 ± 0.000820
2. cte_domain: 0.102666 ± 0.000564
3. domain_length: 0.072912 ± 0.000440
4. subdomains: 0.032074 ± 0.000356
5. uppercase: 0.026867 ± 0.000161
6. dots: 0.025171 ± 0.000236
7. hyphens: 0.021588 ± 0.000473
8. digits: 0.017057 ± 0.000362
9. se_domain: 0.014476 ± 0.000167
10. slashes: 0.011406 ± 0.000072
